"","CASENUM","COHORT","GENDER","STRATA","SCHOOLID","RACETH","STEM","year_from_baseline","urban","nkids","edulevel","health","time","MISSING","GENDER.int","health.cut"
"180",1017,"(2) Younger","Male","(3) Northeast-Rural",302,"(3) White",1,20,"(2) Remainder urban area 1,000,000 or more",1,"<PHD",8,0,0,1,"8"
"552",1017,"(2) Younger","Male","(3) Northeast-Rural",302,"(3) White",1,21,"(2) Remainder urban area 1,000,000 or more",1,"<PHD",8,1,0,1,"8"
"924",1017,"(2) Younger","Male","(3) Northeast-Rural",302,"(3) White",1,22,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",8,2,0,1,"8"
"1296",1017,"(2) Younger","Male","(3) Northeast-Rural",302,"(3) White",1,23,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",8,3,0,1,"8"
"1668",1017,"(2) Younger","Male","(3) Northeast-Rural",302,"(3) White",1,24,NA,2,"<PHD",8,4,0,1,"8"
"181",1023,"(2) Younger","Male","(8) South-Suburban",127,"(3) White",0,20,"(5) Rural/small town 49,999 or less",3,"PHD",8,0,0,1,"8"
"553",1023,"(2) Younger","Male","(8) South-Suburban",127,"(3) White",0,21,"(5) Rural/small town 49,999 or less",3,"PHD",8,1,0,1,"8"
"925",1023,"(2) Younger","Male","(8) South-Suburban",127,"(3) White",0,22,"(5) Rural/small town 49,999 or less",3,"PHD",8,2,0,1,"8"
"1297",1023,"(2) Younger","Male","(8) South-Suburban",127,"(3) White",0,23,"(5) Rural/small town 49,999 or less",3,"PHD",8,3,0,1,"8"
"1669",1023,"(2) Younger","Male","(8) South-Suburban",127,"(3) White",NA,24,NA,NA,NA,NA,4,1,1,NA
"1",1037,"(1) Older","Female","(5) Northcentral-Suburban",218,"(3) White",0,23,"(5) Rural/small town 49,999 or less",3,"<PHD",9,3,0,0,"9"
"373",1037,"(1) Older","Female","(5) Northcentral-Suburban",218,"(3) White",0,24,"(5) Rural/small town 49,999 or less",3,"<PHD",9,4,0,0,"9"
"745",1037,"(1) Older","Female","(5) Northcentral-Suburban",218,"(3) White",0,25,"(5) Rural/small town 49,999 or less",3,"<PHD",9,5,0,0,"9"
"1117",1037,"(1) Older","Female","(5) Northcentral-Suburban",218,"(3) White",0,26,"(5) Rural/small town 49,999 or less",3,"<PHD",9,6,0,0,"9"
"1489",1037,"(1) Older","Female","(5) Northcentral-Suburban",218,"(3) White",0,27,NA,3,"<PHD",9,7,0,0,"9"
"182",1045,"(2) Younger","Male","(2) Northeast-Suburban",116,"(3) White",1,20,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",9,0,0,1,"9"
"554",1045,"(2) Younger","Male","(2) Northeast-Suburban",116,"(3) White",1,21,"(2) Remainder urban area 1,000,000 or more",1,"<PHD",9,1,0,1,"9"
"926",1045,"(2) Younger","Male","(2) Northeast-Suburban",116,"(3) White",1,22,"(2) Remainder urban area 1,000,000 or more",1,"<PHD",9,2,0,1,"9"
"1298",1045,"(2) Younger","Male","(2) Northeast-Suburban",116,"(3) White",1,23,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",9,3,0,1,"9"
"1670",1045,"(2) Younger","Male","(2) Northeast-Suburban",116,"(3) White",1,24,NA,2,"<PHD",9,4,0,1,"9"
"2",1048,"(1) Older","Female","(9) South-Rural",241,"(3) White",0,23,"(5) Rural/small town 49,999 or less",1,"<PHD",7,3,0,0,"7"
"374",1048,"(1) Older","Female","(9) South-Rural",241,"(3) White",NA,24,NA,NA,NA,7,4,1,0,"7"
"746",1048,"(1) Older","Female","(9) South-Rural",241,"(3) White",NA,25,NA,NA,NA,7,5,1,0,"7"
"1118",1048,"(1) Older","Female","(9) South-Rural",241,"(3) White",NA,26,NA,NA,NA,NA,6,1,0,NA
